#Transcript position	Transcript coverage profile
0.0	66009.04941807945
1.0	72707.79853753821
2.0	83474.19654942496
3.0	90084.2605773188
4.0	96046.79462744272
5.0	103488.60405519046
6.0	107629.95283335437
7.0	109273.52009866208
8.0	110940.94174738726
9.0	111826.96406901572
10.0	111710.97546534566
11.0	112965.46250242015
12.0	111761.82395894139
13.0	108996.49559001446
14.0	107250.12406550469
15.0	107763.44047049398
16.0	107831.08705829231
17.0	107120.45370306958
18.0	105393.43335233329
19.0	103126.09955587987
20.0	104347.08595977303
21.0	102820.75021049017
22.0	100949.61656316617
23.0	98641.10830321429
24.0	98356.69222366632
25.0	99322.85448198803
26.0	98209.55682593262
27.0	97275.3951317095
28.0	96693.048054066
29.0	96047.46445239746
30.0	95613.80156877235
31.0	93979.66019350202
32.0	95103.55454973623
33.0	95532.1935725774
34.0	95381.69444801257
35.0	95224.65883317142
36.0	93878.15449896303
37.0	92790.90793132268
38.0	91335.96561012797
39.0	89864.50766228887
40.0	89841.95331319008
41.0	89503.94335678812
42.0	88849.45321234822
43.0	87556.92433322074
44.0	86084.32684310249
45.0	84231.29212339602
46.0	83081.2265858243
47.0	80154.4858015742
48.0	79387.96188424456
49.0	78907.2014860618
50.0	78163.3406541771
51.0	76996.07100951516
52.0	75195.27520691304
53.0	74230.13928956317
54.0	73665.1155563108
55.0	72084.00107275587
56.0	70313.03080654601
57.0	69027.05339459842
58.0	69094.75899855817
59.0	69164.9331955467
60.0	68282.43072963449
61.0	67610.65541942012
62.0	67146.57412472513
63.0	65087.78182332458
64.0	63702.75621589489
65.0	62387.451077900216
66.0	61068.22518281806
67.0	60481.723344410406
68.0	59127.499488142326
69.0	57826.88086485834
70.0	57891.52843390082
71.0	56956.19694694876
72.0	56352.595445793006
73.0	56005.28258436947
74.0	54631.058900177275
75.0	53907.48411492617
76.0	53272.44323189453
77.0	52531.17653390335
78.0	51003.91224241833
79.0	50183.29699583676
80.0	49694.82111836653
81.0	48774.04408388782
82.0	47334.85179628108
83.0	45820.51915997171
84.0	44347.11686328433
85.0	42716.13309764772
86.0	41260.45612682556
87.0	39891.99016893343
88.0	37086.78269554069
89.0	34582.58056186029
90.0	31754.86306779489
91.0	29181.91895860567
92.0	26638.526999852274
93.0	23235.02080766441
94.0	20624.39541887576
95.0	16273.326881667219
96.0	10071.5859384185
97.0	6788.877734228046
98.0	4375.92362998947
99.0	730.4038140982033
