#Transcript position	Transcript coverage profile
0.0	281834.66126137634
1.0	299008.3261699384
2.0	318387.5347488991
3.0	331955.7962172971
4.0	344846.0052147571
5.0	357282.073217135
6.0	365791.3543812575
7.0	372085.645883024
8.0	377373.1620428249
9.0	382166.6190288883
10.0	384320.5752021638
11.0	388369.2364434911
12.0	387994.9816280472
13.0	386432.1207630263
14.0	385171.8627165675
15.0	386425.8116661331
16.0	385371.8442904754
17.0	385111.4955967829
18.0	384190.48621573136
19.0	381297.16946297156
20.0	383193.8350012024
21.0	383269.3709095557
22.0	382413.601180818
23.0	380397.3722198155
24.0	380781.9860580052
25.0	382311.57880119124
26.0	382230.3445650485
27.0	381064.1251639683
28.0	380782.8332338657
29.0	381046.7946348636
30.0	381152.77785670373
31.0	379541.2263665836
32.0	380703.62772947154
33.0	381732.9890329829
34.0	381210.8671701639
35.0	380584.1045822419
36.0	380125.34248345654
37.0	379229.9823302737
38.0	379072.81762599613
39.0	378744.4517307782
40.0	380258.2975312467
41.0	379173.8328001138
42.0	377983.16389604734
43.0	376744.10978737683
44.0	375254.55610855157
45.0	375016.1310623139
46.0	373513.2977633216
47.0	370632.20233369345
48.0	369588.0991211651
49.0	369985.6028656415
50.0	369447.2613851232
51.0	369744.7255209091
52.0	367614.2697628621
53.0	365871.0688957321
54.0	365125.4965547706
55.0	363341.7782099565
56.0	360403.9029375539
57.0	357956.5570794266
58.0	357631.4732562393
59.0	357561.4437486858
60.0	356048.0117751403
61.0	355159.4032495498
62.0	355812.28502196743
63.0	354440.25548960525
64.0	351598.70808741706
65.0	349336.80897936353
66.0	347804.1412025112
67.0	348498.94037534896
68.0	347569.5593843706
69.0	345877.7830426106
70.0	345857.6233335257
71.0	345260.41557441186
72.0	345341.31736434076
73.0	346024.00183712336
74.0	344074.32978079974
75.0	343917.56846136914
76.0	342961.442105784
77.0	342400.4658946021
78.0	340761.3038797425
79.0	340323.86124906637
80.0	340990.6977529379
81.0	339523.6406641596
82.0	337161.72657784616
83.0	334126.66964876535
84.0	330022.6439310522
85.0	324793.9762160995
86.0	318257.00196716085
87.0	310773.15455871
88.0	298921.6006127435
89.0	285663.00534835877
90.0	269676.08947994915
91.0	251245.76640187908
92.0	230977.63152487352
93.0	206999.6669446554
94.0	184053.9408693188
95.0	155293.97012864266
96.0	120471.83487177303
97.0	85757.64166528512
98.0	51777.2952909348
99.0	15690.813733877385
