#Transcript position	Transcript coverage profile
0.0	53198.16684002848
1.0	57600.40351005992
2.0	65286.00534503394
3.0	70650.06530009514
4.0	76012.3519318035
5.0	81843.67926197292
6.0	85449.7491259733
7.0	87575.37096088378
8.0	89587.4079612408
9.0	90615.68557990197
10.0	91342.7402881946
11.0	93205.79650316364
12.0	93213.52375386936
13.0	91711.78780535431
14.0	90836.0570022066
15.0	91629.45941756482
16.0	92119.88913448229
17.0	92090.66802963434
18.0	91604.44036866685
19.0	90315.23638148187
20.0	91544.76878171315
21.0	90439.37876112021
22.0	89750.44289159977
23.0	88305.00912941534
24.0	88316.22548815644
25.0	89415.56113585366
26.0	88764.77410175074
27.0	88144.7750646297
28.0	88065.63358197291
29.0	88251.24407684625
30.0	88815.93774393408
31.0	88140.07429359773
32.0	89634.29474591959
33.0	90344.19157888793
34.0	90666.20975938885
35.0	90265.60862137437
36.0	89532.16134354578
37.0	89035.28554855447
38.0	88544.47677491653
39.0	88025.22230830097
40.0	88231.58378861014
41.0	88110.27905292113
42.0	87728.33328338625
43.0	86857.72201690785
44.0	85615.00232766783
45.0	84787.40575286502
46.0	83828.43854549967
47.0	81397.9841178568
48.0	80750.81302435399
49.0	80691.21378332906
50.0	80071.95670622525
51.0	79217.68171335358
52.0	77682.09669618857
53.0	76974.96931061211
54.0	76151.58073790475
55.0	74325.99369955057
56.0	72358.36635248114
57.0	71075.75859328096
58.0	71552.86937438438
59.0	71841.8172075441
60.0	71411.20131872283
61.0	71327.33185083739
62.0	70994.32545335338
63.0	69447.04289885261
64.0	68112.23111607165
65.0	66968.05353870687
66.0	65853.08225746293
67.0	65005.50427622655
68.0	63986.53927392834
69.0	62890.441759651476
70.0	62831.70691040652
71.0	61908.38019486855
72.0	61239.55030696818
73.0	60800.21270023054
74.0	59565.3542024324
75.0	58896.07496978303
76.0	57763.63546805558
77.0	56656.51406747919
78.0	55120.763837680206
79.0	54200.83526302475
80.0	53707.27846752186
81.0	53063.113097087546
82.0	51885.529172156515
83.0	50434.18377348179
84.0	48496.6068232251
85.0	46902.6413065455
86.0	45830.555229525315
87.0	44611.91710121142
88.0	41773.0527648197
89.0	39064.43180804737
90.0	35976.51013343673
91.0	33040.73658727168
92.0	29658.379248049343
93.0	25246.461582204505
94.0	22550.719333868885
95.0	17739.1770017008
96.0	11269.90354017429
97.0	7608.087698062239
98.0	4659.330154736203
99.0	912.3211305249382
