#Transcript position	Transcript coverage profile
0.0	232265.08640811898
1.0	246631.47535884005
2.0	261846.24909702735
3.0	272958.1323789431
4.0	283684.1223824644
5.0	293591.6849624941
6.0	300688.3385818912
7.0	306011.15437090606
8.0	310853.54936569254
9.0	315179.78911777964
10.0	317492.3647981654
11.0	321200.66191891854
12.0	321487.52377881395
13.0	321045.4396662183
14.0	320336.84372891596
15.0	321751.66913250287
16.0	321908.05246231065
17.0	322176.4415526476
18.0	322022.20231000433
19.0	320265.81827347964
20.0	321922.4553931964
21.0	321898.36306742416
22.0	321592.4829667046
23.0	320636.4825224225
24.0	321253.1988382747
25.0	322609.42760492873
26.0	322960.9777567192
27.0	322074.0789287589
28.0	321889.9921660044
29.0	322764.77188569616
30.0	323648.94895829645
31.0	322487.5379148823
32.0	323848.1366603241
33.0	324875.42922601773
34.0	324776.41838883597
35.0	324505.1481716228
36.0	324118.62297677336
37.0	323358.9398533518
38.0	323525.1187381437
39.0	323345.84397502727
40.0	324480.28549009067
41.0	323511.04349580023
42.0	322646.0242761612
43.0	321572.8400433916
44.0	320427.5813301569
45.0	320671.2975623415
46.0	319683.6169107869
47.0	317281.16939689114
48.0	316594.6237773397
49.0	316994.7523637154
50.0	316415.5629580918
51.0	316660.05921484093
52.0	315139.05198885914
53.0	313932.1386740522
54.0	313109.99664222304
55.0	311254.86315031606
56.0	308633.1621949639
57.0	306712.5300038867
58.0	306562.89249934844
59.0	306596.6322174525
60.0	305291.88312544837
61.0	304529.70534014265
62.0	304868.11177080555
63.0	303868.2126832466
64.0	301458.4760754221
65.0	299470.72356403497
66.0	298181.56004068354
67.0	298565.88976519305
68.0	297705.26315275976
69.0	296304.5104713713
70.0	296209.9088515758
71.0	295424.21678250853
72.0	295304.86895887664
73.0	295913.2743369905
74.0	294315.71107056807
75.0	294052.52438152244
76.0	293200.1462621974
77.0	292799.86662502756
78.0	291405.9151538884
79.0	290920.57887208834
80.0	291081.5099410106
81.0	289651.080261359
82.0	287495.84506280645
83.0	284640.72158803215
84.0	281019.18291578995
85.0	276470.61995163455
86.0	270878.177056087
87.0	264625.1079472871
88.0	254831.44033327218
89.0	243552.2782907036
90.0	230081.66428032098
91.0	214545.85344685632
92.0	197438.8691842813
93.0	177101.5667279386
94.0	157544.20491580068
95.0	133341.7479132549
96.0	104076.96563129035
97.0	74298.96160276126
98.0	44867.80474146315
99.0	13659.507191063813
